height_mm,volume_l
0,1500.01
18,1999.98
100,5773.02
200,10328.0
300,14884.01
400,19436.99
500,23995.01
600,28554.0
700,33113.0
800,37671.02
900,42230.02
1000,46789.01
1100,51343.02
1200,55895.01
1300,60448.03
1400,65001.05
1500,69553.04
1600,74106.02
1700,78658.06
1800,83211.04
1900,87764.05
2000,92316.05
2100,96869.03
2200,101421.06
2300,105973.06
2400,110526.04
2500,115078.07
2600,119630.07
2700,124182.06
2800,128735.08
2900,133287.07
3000,137839.07
3100,142392.05
3200,146944.08
3300,151496.08
3400,156049.06
3500,160601.09
3600,165153.09
3700,169706.07
3800,174258.1
3900,178810.1
4000,183363.08
4100,187915.07
4200,192470.09
4300,197027.09
4400,201584.08
4500,206141.11
4600,210698.1
4700,215255.09
4800,219812.09
4900,224369.12
5000,228926.11
5100,233483.1
5200,238040.09
5300,242597.12
5400,247154.12
5500,251711.11
5600,256268.14
5700,260825.13
5800,265382.12
5900,269939.11
6000,274496.15
6100,279053.14
6200,283610.13
6300,288165.15
6400,292720.14
6500,297275.13
6600,301830.15
6700,306385.14
6800,310939.14
6900,315494.16
7000,320049.15
7100,324604.17
